bill_number,bill_name,year,type,category,ministry,introduced_in,introduced_by,introduced_date,passed_ls_date,passed_rs_date,assented_date,status,committee_referred,committee_report_date,act_no,act_year,introduced_file,report_file,gazette_file
LXIV,"The Climate Resilient Agriculture and Farmers Protection Bill, 2025",2025,Private Member,Financial Bill,AGRICULTURE & FARMERS WELFARE,Rajya Sabha,Renuka Chowdhury Smt.,2026-03-13,,,,Pending,,,,,https://sansad.in/getFile/BillsTexts/RSBillTexts/Asintroduced/6e3192026103012AM.pdf?source=legislation,,
XXXVII,"The Indian Diaspora and Migrant Workers (Protection and Welfare) Bill, 2026",2026,Private Member,Financial Bill,EXTERNAL AFFAIRS,Rajya Sabha,Ashok Kumar Mittal Dr.,2026-03-13,,,,Pending,,,,,https://sansad.in/getFile/BillsTexts/RSBillTexts/Asintroduced/23e3192026103440AM.pdf?source=legislation,,
XXXIV,"The Central Nursing University Bill, 2026",2026,Private Member,Financial Bill,HEALTH AND FAMILY WELFARE,Rajya Sabha,Sandosh Kumar P Shri,2026-03-13,,,,Pending,,,,,https://sansad.in/getFile/BillsTexts/RSBillTexts/Asintroduced/28e3192026103632AM.pdf?source=legislation,,
XXXIII,"The Free Education (Secondary to Undergraduate Level) Bill, 2026",2026,Private Member,Financial Bill,EDUCATION,Rajya Sabha,John Brittas Dr.,2026-03-13,,,,Pending,,,,,https://sansad.in/getFile/BillsTexts/RSBillTexts/Asintroduced/31e3192026103730AM.pdf?source=legislation,,
XXXII,"The Digital Networking Platforms (Accountability and User Protection) Bill, 2026",2026,Private Member,Ordinary Bill,ELECTRONICS AND INFORMATION TECHNOLOGY,Rajya Sabha,V. Sivadasan Dr.,2026-03-13,,,,Pending,,,,,https://sansad.in/getFile/BillsTexts/RSBillTexts/Asintroduced/11e3192026103202AM.pdf?source=legislation,,
XXXI,"The Anti-Racism and Equality Bill, 2026",2026,Private Member,Financial Bill,SOCIAL JUSTICE AND EMPOWERMENT,Rajya Sabha,Ashok Kumar Mittal Dr.,2026-03-13,,,,Pending,,,,,https://sansad.in/getFile/BillsTexts/RSBillTexts/Asintroduced/24e3192026103504AM.pdf?source=legislation,,
XXX,"The Asset Tokenisation (Regulation) Bill, 2026",2026,Private Member,Financial Bill,FINANCE,Rajya Sabha,Raghav Chadha Shri,2026-03-13,,,,Pending,,,,,https://sansad.in/getFile/BillsTexts/RSBillTexts/Asintroduced/18e3192026103415AM.pdf?source=legislation,,
XXVII,"The Right of Children to Free and Compulsory Education (Amendment) Bill, 2026",2026,Private Member,Ordinary Bill,EDUCATION,Rajya Sabha,John Brittas Dr.,2026-03-13,,,,Pending,,,,,https://sansad.in/getFile/BillsTexts/RSBillTexts/Asintroduced/30e3192026103705AM.pdf?source=legislation,,
XXV,"The Sacred Bond (Parent Care Leave) Bill, 2026",2026,Private Member,Ordinary Bill,LABOUR  AND  EMPLOYMENT,Rajya Sabha,Sumitra Balmik Smt.,2026-03-13,,,,Pending,,,,,https://sansad.in/getFile/BillsTexts/RSBillTexts/Asintroduced/32e3192026103751AM.pdf?source=legislation,,
XXIX,"The National Commission for De-notified, Nomadic and Semi-nomadic Tribes Bill, 2026",2026,Private Member,Financial Bill,SOCIAL JUSTICE AND EMPOWERMENT,Rajya Sabha,K. Laxman Dr.,2026-03-13,,,,Pending,,,,,https://sansad.in/getFile/BillsTexts/RSBillTexts/Asintroduced/26e3192026103533AM.pdf?source=legislation,,
XXII,"The Silver Economy (Growth and Empowerment) Bill, 2026",2026,Private Member,Financial Bill,SOCIAL JUSTICE AND EMPOWERMENT,Rajya Sabha,Sujeet Kumar Shri,2026-03-13,,,,Removed,,,,,https://sansad.in/getFile/BillsTexts/RSBillTexts/Asintroduced/16e3192026103344AM.pdf?source=legislation,,
XX,"The National Commission for the Entitlements and Welfare of Women Farmers Bill, 2026",2026,Private Member,Financial Bill,AGRICULTURE & FARMERS WELFARE,Rajya Sabha,Sandosh Kumar P Shri,2026-03-13,,,,Pending,,,,,https://sansad.in/getFile/BillsTexts/RSBillTexts/Asintroduced/27e3192026103604AM.pdf?source=legislation,,
XVIII,"The Constitution (Amendment) Bill, 2026 (amendment of article 366)",2026,Private Member,Constitutional Amendment Bill,MINORITY AFFAIRS,Rajya Sabha,Bhim Singh Dr.,2026-03-13,,,,Pending,,,,,https://sansad.in/getFile/BillsTexts/RSBillTexts/Asintroduced/13e3192026103251AM.pdf?source=legislation,,
XVII,"The Urban Areas (Development and Regulation) Bill, 2026",2026,Private Member,Financial Bill,Housing and Urban Affairs,Rajya Sabha,Bhim Singh Dr.,2026-03-13,,,,Pending,,,,,https://sansad.in/getFile/BillsTexts/RSBillTexts/Asintroduced/14e3192026103316AM.pdf?source=legislation,,
XVI,"The Constitution (Amendment) Bill, 2026 (insertion of new article 21B)",2026,Private Member,Constitutional Amendment Bill,CULTURE,Rajya Sabha,V. Sivadasan Dr.,2026-03-13,,,,Pending,,,,,https://sansad.in/getFile/BillsTexts/RSBillTexts/Asintroduced/12e3192026103224AM.pdf?source=legislation,,
IX,"The Kolhapuri Leather Craft (Preservation and Livelihood Security) Bill, 2026",2026,Private Member,Financial Bill,COMMERCE AND INDUSTRY,Rajya Sabha,Dhananjay Bhimrao Mahadik Shri,2026-03-13,,,,Pending,,,,,https://sansad.in/getFile/BillsTexts/RSBillTexts/Asintroduced/9e3192026103137AM.pdf?source=legislation,,
I,"The Bharatiya Nyaya Sanhita (Amendment) Bill, 2026",2026,Private Member,Ordinary Bill,HOME AFFAIRS,Rajya Sabha,Jebi Mather Hisham Smt.,2026-03-13,,,,Pending,,,,,https://sansad.in/getFile/BillsTexts/RSBillTexts/Asintroduced/8e3192026103107AM.pdf?source=legislation,,
79,"THE TRANSGENDER PERSONS (PROTECTION OF RIGHTS) AMENDMENT BILL, 2026",2026,Government,Ordinary Bill,SOCIAL JUSTICE AND EMPOWERMENT,Lok Sabha,,2026-03-13,2026-03-24,2026-03-25,30/03/2026,Passed,,,3,2026,https://sansad.in/getFile/BillsTexts/LSBillTexts/Asintroduced/As intro313202621404PM.pdf?source=legislation,,
72,"THE APPROPRIATION BILL, 2026",2026,Government,Money Bill,FINANCE,Lok Sabha,,2026-03-13,2026-03-13,2026-03-17,21/03/2026,Assented,,,2,2026,https://sansad.in/getFile/BillsTexts/LSBillTexts/Asintroduced/AS INTRO313202631719PM.pdf?source=legislation,,
33,"THE INDUSTRIAL RELATIONS CODE (AMENDMENT) BILL, 2026",2026,Government,Ordinary Bill,LABOUR  AND  EMPLOYMENT,Lok Sabha,,2026-02-11,2026-02-12,2026-02-12,16/02/2026,Assented,,,1,2026,https://sansad.in/getFile/BillsTexts/LSBillTexts/Asintroduced/AS INTRO2112026123608PM.pdf?source=legislation,,
XCI,"The Airline Passengersâ Rights Bill, 2024",2024,Private Member,Ordinary Bill,CIVIL AVIATION,Rajya Sabha,Priyanka Chaturvedi Smt.,2026-02-06,,,,Removed,,,,,https://sansad.in/getFile/BillsTexts/RSBillTexts/Asintroduced/4212202643253PM.pdf?source=legislation,,
LXXXI,"The Constitution (Amendment) Bill, 2024 (amendment of articles 243D and 243T)",2024,Private Member,Constitutional Amendment Bill,PANCHAYATI   RAJ,Rajya Sabha,Haris Beeran Shri,2026-02-06,,,,Pending,,,,,https://sansad.in/getFile/BillsTexts/RSBillTexts/Asintroduced/2212202643158PM.pdf?source=legislation,,
LXXVIII,"The Bharatiya Nyaya Sanhita (Amendment) Bill, 2024",2024,Private Member,Ordinary Bill,HOME AFFAIRS,Rajya Sabha,Haris Beeran Shri,2026-02-06,,,,Pending,,,,,https://sansad.in/getFile/BillsTexts/RSBillTexts/Asintroduced/1212202643127PM.pdf?source=legislation,,
XXXI,"The Environment (Protection) Amendment Bill, 2025",2025,Private Member,Financial Bill,"ENVIRONMENT, FOREST AND CLIMATE CHANGE",Rajya Sabha,A. A. Rahim Shri,2026-02-06,,,,Pending,,,,,https://sansad.in/getFile/BillsTexts/RSBillTexts/Asintroduced/9212202643504PM.pdf?source=legislation,,
XXVI,"The Scheduled Castes and the Scheduled Tribes (Prevention of Atrocities) Amendment Bill, 2025",2025,Private Member,Ordinary Bill,SOCIAL JUSTICE AND EMPOWERMENT,Rajya Sabha,Manoj Kumar Jha Prof.,2026-02-06,,,,Pending,,,,,https://sansad.in/getFile/BillsTexts/RSBillTexts/Asintroduced/12212202643559PM.pdf?source=legislation,,
XL,"The Educational Consultancies Regulation Bill, 2025",2025,Private Member,Financial Bill,EDUCATION,Rajya Sabha,A. A. Rahim Shri,2026-02-06,,,,Pending,,,,,https://sansad.in/getFile/BillsTexts/RSBillTexts/Asintroduced/10212202643522PM.pdf?source=legislation,,
XIV,"The Representation of the People (Amendment) Bill, 2025 (amendment of section 2 and insertion of new Chapter VIIB)",2025,Private Member,Financial Bill,LAW AND JUSTICE,Rajya Sabha,Sant Balbir Singh Shri,2026-02-06,,,,Pending,,,,,https://sansad.in/getFile/BillsTexts/RSBillTexts/Asintroduced/8212202643429PM.pdf?source=legislation,,
XIII,"The National Commission for Fishermen (Welfare and Support) Bill, 2025",2025,Private Member,Financial Bill,"fisheries, animal husbandry and dairying",Rajya Sabha,Masthan Rao Yadav Beedha Shri,2026-02-06,,,,Pending,,,,,https://sansad.in/getFile/BillsTexts/RSBillTexts/Asintroduced/7212202643359PM.pdf?source=legislation,,
V,"The Employeesâ Wellbeing Bill, 2025",2025,Private Member,Financial Bill,LABOUR  AND  EMPLOYMENT,Rajya Sabha,Priyanka Chaturvedi Smt.,2026-02-06,,,,Removed,,,,,https://sansad.in/getFile/BillsTexts/RSBillTexts/Asintroduced/5212202643313PM.pdf?source=legislation,,
LXXIV,"The National Commission for Women (Amendment) Bill, 2025",2025,Private Member,Ordinary Bill,WOMEN AND CHILD DEVELOPMENT,Rajya Sabha,Swati Maliwal Ms.,2026-02-06,,,,Pending,,,,,https://sansad.in/getFile/BillsTexts/RSBillTexts/Asintroduced/19212202645506PM.pdf?source=legislation,,
LXVIII,"The National Ranking and Accreditation Authority for Higher Educational Institutions Bill, 2025",2025,Private Member,Financial Bill,EDUCATION,Rajya Sabha,Satnam Singh Sandhu Shri,2026-02-06,,,,Pending,,,,,https://sansad.in/getFile/BillsTexts/RSBillTexts/Asintroduced/18212202645447PM.pdf?source=legislation,,
LXVII,"The Right to Disconnect Bill, 2025",2025,Private Member,Financial Bill,LABOUR  AND  EMPLOYMENT,Rajya Sabha,A. A. Rahim Shri,2026-02-06,,,,Pending,,,,,https://sansad.in/getFile/BillsTexts/RSBillTexts/Asintroduced/11212202643539PM.pdf?source=legislation,,
LXVI,"The Kisan Jeevan Suraksha Evam Durghatna Pratipurti Vidheyak, 2025",2025,Private Member,Financial Bill,AGRICULTURE & FARMERS WELFARE,Rajya Sabha,Satnam Singh Sandhu Shri,2026-02-06,,,,Pending,,,,,https://sansad.in/getFile/BillsTexts/RSBillTexts/Asintroduced/16212202643716PM.pdf?source=legislation,,
LXIX,"The Pravasi Bharatiya Kaushal Evam Pratibha Prerak Vidheyak, 2025",2025,Private Member,Financial Bill,EXTERNAL AFFAIRS,Rajya Sabha,Satnam Singh Sandhu Shri,2026-02-06,,,,Pending,,,,,https://sansad.in/getFile/BillsTexts/RSBillTexts/Asintroduced/17212202645428PM.pdf?source=legislation,,
LXII,"The Persons with Rare and Life-Threatening Diseases (Financial Support and Medical Entitlement) Bill, 2025",2025,Private Member,Financial Bill,HEALTH AND FAMILY WELFARE,Rajya Sabha,Sanjay Seth Shri,2026-02-06,,,,Pending,,,,,https://sansad.in/getFile/BillsTexts/RSBillTexts/Asintroduced/14212202643631PM.pdf?source=legislation,,
LV,"The Small Claims Court Bill, 2025",2025,Private Member,Financial Bill,LAW AND JUSTICE,Rajya Sabha,Sanjay Seth Shri,2026-02-06,,,,Pending,,,,,https://sansad.in/getFile/BillsTexts/RSBillTexts/Asintroduced/13212202643617PM.pdf?source=legislation,,
LIV,"The Clinical Establishments (Registration and Regulation) Amendment Bill, 2025",2025,Private Member,Financial Bill,HEALTH AND FAMILY WELFARE,Rajya Sabha,Sanjay Seth Shri,2026-02-06,,,,Pending,,,,,https://sansad.in/getFile/BillsTexts/RSBillTexts/Asintroduced/15212202643646PM.pdf?source=legislation,,
IV,"The Regulation of Animal Breeding Bill, 2025",2025,Private Member,Ordinary Bill,"fisheries, animal husbandry and dairying",Rajya Sabha,Priyanka Chaturvedi Smt.,2026-02-06,,,,Removed,,,,,https://sansad.in/getFile/BillsTexts/RSBillTexts/Asintroduced/6212202643332PM.pdf?source=legislation,,
II,"The Census (Amendment) Bill, 2025",2025,Private Member,Ordinary Bill,HOME AFFAIRS,Rajya Sabha,Haris Beeran Shri,2026-02-06,,,,Pending,,,,,https://sansad.in/getFile/BillsTexts/RSBillTexts/Asintroduced/3212202643214PM.pdf?source=legislation,,
XV,"The Constitution (Amendment) Bill, 2026 (amendment of articles 15, 16, 124, 217, 224 and Seventh Schedule and substitution of article 130)",2026,Private Member,Constitutional Amendment Bill,LAW AND JUSTICE,Rajya Sabha,P. Wilson Shri,2026-02-06,,,,Pending,,,,,https://sansad.in/getFile/BillsTexts/RSBillTexts/Asintroduced/26212202645733PM.pdf?source=legislation,,
XIV,"The Commission for Air Quality Management in National Capital Region and Adjoining Areas (Amendment) Bill, 2026",2026,Private Member,Financial Bill,"ENVIRONMENT, FOREST AND CLIMATE CHANGE",Rajya Sabha,Swati Maliwal Ms.,2026-02-06,,,,Pending,,,,,https://sansad.in/getFile/BillsTexts/RSBillTexts/Asintroduced/21212202645550PM.pdf?source=legislation,,
XIII,"The Artificial Intelligence (Human Health and Medical Education) Regulation Bill, 2026",2026,Private Member,Financial Bill,HEALTH AND FAMILY WELFARE,Rajya Sabha,Ajeet Madhavrao Gopchade Dr.,2026-02-06,,,,Pending,,,,,https://sansad.in/getFile/BillsTexts/RSBillTexts/Asintroduced/25212202645709PM.pdf?source=legislation,,
XII,"The Delivery Platforms (Verification of Antecedents of Delivery Personnel) Bill, 2026",2026,Private Member,Ordinary Bill,HOME AFFAIRS,Rajya Sabha,Ajeet Madhavrao Gopchade Dr.,2026-02-06,,,,Pending,,,,,https://sansad.in/getFile/BillsTexts/RSBillTexts/Asintroduced/24226202624841PM.pdf?source=legislation,,
XI,"The Food Safety and Standards (Amendment) Bill, 2026",2026,Private Member,Financial Bill,HEALTH AND FAMILY WELFARE,Rajya Sabha,Swati Maliwal Ms.,2026-02-06,,,,Pending,,,,,https://sansad.in/getFile/BillsTexts/RSBillTexts/Asintroduced/20212202645527PM.pdf?source=legislation,,
X,"The Medical Gases (Quality, Safety and Regulation) Bill, 2026",2026,Private Member,Financial Bill,HEALTH AND FAMILY WELFARE,Rajya Sabha,Ajeet Madhavrao Gopchade Dr.,2026-02-06,,,,Pending,,,,,https://sansad.in/getFile/BillsTexts/RSBillTexts/Asintroduced/23212202645629PM.pdf?source=legislation,,
VIII,"The Online Matrimonial and Dating Services (Promotion and Regulation) Bill, 2026",2026,Private Member,Financial Bill,ELECTRONICS AND INFORMATION TECHNOLOGY,Rajya Sabha,Fauzia Khan Dr.,2026-02-06,,,,Removed,,,,,https://sansad.in/getFile/BillsTexts/RSBillTexts/Asintroduced/22212202645608PM.pdf?source=legislation,,
VII,"The Advanced Medical Response Infrastructure and Training Bill, 2026",2026,Private Member,Financial Bill,HEALTH AND FAMILY WELFARE,Rajya Sabha,Sujeet Kumar Shri,2026-02-06,,,,Removed,,,,,https://sansad.in/getFile/BillsTexts/RSBillTexts/Asintroduced/29212202645827PM.pdf?source=legislation,,
VI,"The Critical Infrastructure (Resilience, Protection and Accountability) Bill, 2026",2026,Private Member,Ordinary Bill,PLANNING,Rajya Sabha,Kartikeya Sharma Shri,2026-02-06,,,,Pending,,,,,https://sansad.in/getFile/BillsTexts/RSBillTexts/Asintroduced/32212202645949PM.pdf?source=legislation,,
V,"The Shakti Samman (Pay Parity for Women) Bill, 2026",2026,Private Member,Financial Bill,LABOUR  AND  EMPLOYMENT,Rajya Sabha,Kartikeya Sharma Shri,2026-02-06,,,,Pending,,,,,https://sansad.in/getFile/BillsTexts/RSBillTexts/Asintroduced/31212202645901PM.pdf?source=legislation,,
IV,"The Domestic Workers (Social Security and Welfare) Bill, 2026",2026,Private Member,Financial Bill,LABOUR  AND  EMPLOYMENT,Rajya Sabha,A. D. Singh Shri,2026-02-06,,,,Removed,,,,,https://sansad.in/getFile/BillsTexts/RSBillTexts/Asintroduced/30212202645846PM.pdf?source=legislation,,
III,"The Virtual Court Proceedings Bill, 2026",2026,Private Member,Financial Bill,LAW AND JUSTICE,Rajya Sabha,P. Wilson Shri,2026-02-06,,,,Pending,,,,,https://sansad.in/getFile/BillsTexts/RSBillTexts/Asintroduced/27212202645756PM.pdf?source=legislation,,
II,"The Temple Autonomy, Governance and Cultural Heritage Management Bill, 2026",2026,Private Member,Financial Bill,HOME AFFAIRS,Rajya Sabha,Sujeet Kumar Shri,2026-02-06,,,,Removed,,,,,https://sansad.in/getFile/BillsTexts/RSBillTexts/Asintroduced/28212202645811PM.pdf?source=legislation,,
3,"The Finance Bill, 2026",2026,Government,Money Bill,FINANCE,Lok Sabha,,2026-02-01,2026-03-25,2026-03-27,30/03/2026,Assented,,,4,2026,https://sansad.in/getFile/BillsTexts/LSBillTexts/Asintroduced/English_FinanceBill21202610322PM.pdf?source=legislation,,
200,"THE SECURITIES MARKETS CODE, 2025",2025,Government,Financial Bill,FINANCE,Lok Sabha,,2025-12-18,,,,Pending,,,,,https://sansad.in/getFile/BillsTexts/LSBillTexts/Asintroduced/As intro12182025124203PM.pdf?source=legislation,,
197,"THE VIKSIT BHARATâGUARANTEE FOR ROZGAR AND AJEEVIKA MISSION (GRAMIN): VBâG RAM G (à¤µà¤¿à¤à¤¸à¤¿à¤¤ à¤­à¤¾à¤°à¤¤âà¤à¥ à¤°à¤¾à¤® à¤à¥) BILL, 2025",2025,Government,Financial Bill,RURAL DEVELOPMENT,Lok Sabha,,2025-12-16,2025-12-18,2025-12-19,20/12/2025,Assented,,,36,2025,https://sansad.in/getFile/BillsTexts/LSBillTexts/Asintroduced/As intro1216202512439PM.pdf?source=legislation,,
195,"THE SABKA BIMA SABKI RAKSHA (AMENDMENT OF INSURANCE LAWS) BILL, 2025",2025,Government,Financial Bill,FINANCE,Lok Sabha,,2025-12-16,2025-12-16,2025-12-17,20/12/2025,Assented,,,40,2025,https://sansad.in/getFile/BillsTexts/LSBillTexts/Asintroduced/Insurance as intro1216202512525PM.pdf?source=legislation,,
196,"The Sustainable Harnessing and Advancementof Nuclear Energy for Transforming India Bill, 2025",2025,Government,Financial Bill,ATOMIC ENERGY,Lok Sabha,,2025-12-15,2025-12-17,2025-12-18,20/12/2025,Assented,,,39,2025,https://sansad.in/getFile/BillsTexts/LSBillTexts/Asintroduced/Nuclear As Introduced1215202532245PM.pdf?source=legislation,,
194,"THE VIKSIT BHARAT SHIKSHA ADHISHTHAN BILL, 2025",2025,Government,Financial Bill,EDUCATION,Lok Sabha,,2025-12-15,,,,Pending,,,,,https://sansad.in/getFile/BillsTexts/LSBillTexts/Asintroduced/As intro (3)1215202525925PM.pdf?source=legislation,,
193,"THE REPEALING AND AMENDING BILL, 2025",2025,Government,Ordinary Bill,LAW AND JUSTICE,Lok Sabha,,2025-12-15,2025-12-16,2025-12-17,20/12/2025,Assented,,,37,2025,https://sansad.in/getFile/BillsTexts/LSBillTexts/Asintroduced/AS intro (4)1215202530613PM.pdf?source=legislation,,
150,"The Appropriation (No.4) Bill,2025",2025,Government,Money Bill,FINANCE,Lok Sabha,,2025-12-15,2025-12-15,2025-12-16,20/12/2025,Assented,,,38,2025,https://sansad.in/getFile/BillsTexts/LSBillTexts/Asintroduced/THE APPROPRIATION 12162025111920AM.pdf?source=legislation,,
XLVI,"The Public Examinations (Prevention of Unfair Means) Amendment Bill, 2024",2024,Private Member,Ordinary Bill,"PERSONNEL,  PUBLIC  GRIEVANCES  AND  PENSIONS",Rajya Sabha,Raghav Chadha Shri,2025-12-05,,,,Pending,,,,,https://sansad.in/getFile/BillsTexts/RSBillTexts/Asintroduced/581211202550852PM.pdf?source=legislation,,
XLIV,"The Criminal Laws (Amendment) Bill, 2024",2024,Private Member,Ordinary Bill,HOME AFFAIRS,Rajya Sabha,Raghav Chadha Shri,2025-12-05,,,,Pending,,,,,https://sansad.in/getFile/BillsTexts/RSBillTexts/Asintroduced/571211202550841PM.pdf?source=legislation,,
XLIII,"The National Committee for Protection of Media Persons Bill, 2024",2024,Private Member,Financial Bill,INFORMATION AND BROADCASTING,Rajya Sabha,Mohammed Nadimul Haque Shri,2025-12-05,,,,Pending,,,,,https://sansad.in/getFile/BillsTexts/RSBillTexts/Asintroduced/11211202545359PM.pdf?source=legislation,,
XLII,"The Surrogacy Laws (Amendment) Bill, 2024",2024,Private Member,Ordinary Bill,HEALTH AND FAMILY WELFARE,Rajya Sabha,Mohammed Nadimul Haque Shri,2025-12-05,,,,Pending,,,,,https://sansad.in/getFile/BillsTexts/RSBillTexts/Asintroduced/21211202545419PM.pdf?source=legislation,,
XCVIII,"The Child and Adolescent Labour (Prohibition and Regulation) Amendment Bill, 2024",2024,Private Member,Ordinary Bill,LABOUR  AND  EMPLOYMENT,Rajya Sabha,Iranna Kadadi Shri,2025-12-05,,,,Pending,,,,,https://sansad.in/getFile/BillsTexts/RSBillTexts/Asintroduced/561211202550817PM.pdf?source=legislation,,
XCVII,"The Representation of the People (Amendment) Bill, 2024",2024,Private Member,Financial Bill,LAW AND JUSTICE,Rajya Sabha,Raghav Chadha Shri,2025-12-05,,,,Pending,,,,,https://sansad.in/getFile/BillsTexts/RSBillTexts/Asintroduced/591211202550905PM.pdf?source=legislation,,
XCV,"The Representation of the People (Amendment) Bill, 2024",2024,Private Member,Financial Bill,LAW AND JUSTICE,Rajya Sabha,Jebi Mather Hisham Smt.,2025-12-05,,,,Pending,,,,,https://sansad.in/getFile/BillsTexts/RSBillTexts/Asintroduced/71211202545552PM.pdf?source=legislation,,
XCIV,"The National Commission for Welfare of Sugarcane Farmers and Workers Bill, 2024",2024,Private Member,Financial Bill,AGRICULTURE & FARMERS WELFARE,Rajya Sabha,Iranna Kadadi Shri,2025-12-05,,,,Pending,,,,,https://sansad.in/getFile/BillsTexts/RSBillTexts/Asintroduced/541211202550743PM.pdf?source=legislation,,
XCII,"The Legislative Impact Assessment Bill, 2024",2024,Private Member,Financial Bill,LAW AND JUSTICE,Rajya Sabha,K.R. Suresh Reddy Shri,2025-12-05,,,,Removed,,,,,https://sansad.in/getFile/BillsTexts/RSBillTexts/Asintroduced/61211202545531PM.pdf?source=legislation,,
LXXXVII,"The National Food Security (Amendment) Bill, 2024",2024,Private Member,Ordinary Bill,"CONSUMER AFFAIRS, FOOD AND PUBLIC DISTRIBUTION",Rajya Sabha,Iranna Kadadi Shri,2025-12-05,,,,Pending,,,,,https://sansad.in/getFile/BillsTexts/RSBillTexts/Asintroduced/551211202550803PM.pdf?source=legislation,,
LXXXVI,"The Sexual Harassment of Women at Workplace (Prevention, Prohibition and Redressal) Amendment Bill, 2024",2024,Private Member,Financial Bill,WOMEN AND CHILD DEVELOPMENT,Rajya Sabha,Jebi Mather Hisham Smt.,2025-12-05,,,,Pending,,,,,https://sansad.in/getFile/BillsTexts/RSBillTexts/Asintroduced/81211202545607PM.pdf?source=legislation,,
LXXXIII,"The Sexual Harassment of Women at Workplace (Prevention, Prohibition and Redressal) Amendment Bill, 2024",2024,Private Member,Ordinary Bill,WOMEN AND CHILD DEVELOPMENT,Rajya Sabha,Mohammed Nadimul Haque Shri,2025-12-05,,,,Pending,,,,,https://sansad.in/getFile/BillsTexts/RSBillTexts/Asintroduced/31211202545442PM.pdf?source=legislation,,
LXXII,"The Urban Areas (Development and Regulation) Bill, 2024",2024,Private Member,Financial Bill,Housing and Urban Affairs,Rajya Sabha,Bhim Singh Dr.,2025-12-05,,,,Withdrawn,,,,,https://sansad.in/getFile/BillsTexts/RSBillTexts/Asintroduced/41211202545504PM.pdf?source=legislation,,
44,"The Mental Healthcare (Amendment) Bill, 2024 (Amendment of section, etc.).",2024,Private Member,Financial Bill,HEALTH AND FAMILY WELFARE,Lok Sabha,Rajiv Pratap Rudy Shri,2025-12-05,,,,Pending,,,,,https://sansad.in/getFile/BillsTexts/LSBillTexts/Asintroduced/44 of 2024 as intro125202583504PM.pdf?source=legislation,,
